GAME_ID,TEAM_ID,DIST,HOMEAWAY,TEAM_HOME,OPPONENT,WL,PTS,MIN,MATCHUP,ALTITUDE_HOME,ALTITUDE_AWAY,HIGHALT,ALTDIF,DISTperMIN
0022100001,1610612751,17.99,AWAY,BKN,MIL,L,104,241,BKN @ MIL,26,617,False,-591,0.07464730290456431
0022100002,1610612744,18.27,AWAY,GSW,LAL,W,121,240,GSW @ LAL,13,233,False,-220,0.076125
0022100003,1610612754,19.33,AWAY,IND,CHA,L,122,240,IND @ CHA,717,751,False,-34,0.08054166666666666
0022100004,1610612741,17.48,AWAY,CHI,DET,W,94,239,CHI @ DET,594,595,False,-1,0.07313807531380753
0022100005,1610612738,20.49,AWAY,BOS,NYK,L,134,290,BOS @ NYK,20,26,False,-6,0.0706551724137931
0022100006,1610612764,18.32,AWAY,WAS,TOR,W,98,240,WAS @ TOR,82,251,False,-169,0.07633333333333334
0022100007,1610612739,17.81,AWAY,CLE,MEM,L,121,239,CLE @ MEM,580,337,False,243,0.07451882845188285
0022100008,1610612745,17.75,AWAY,HOU,MIN,L,106,240,HOU @ MIN,43,830,False,-787,0.07395833333333333
0022100009,1610612755,18.15,AWAY,PHI,NOP,W,117,241,PHI @ NOP,39,0,False,39,0.07531120331950207
0022100010,1610612753,18.24,AWAY,ORL,SAS,L,97,238,ORL @ SAS,82,650,False,-568,0.07663865546218487
0022100011,1610612760,17.99,AWAY,OKC,UTA,L,86,239,OKC @ UTA,1201,4226,True,-3025,0.07527196652719664
0022100012,1610612743,17.71,AWAY,DEN,PHX,W,110,241,DEN @ PHX,5280,1086,False,4194,0.07348547717842324
0022100013,1610612758,18.63,AWAY,SAC,POR,W,124,240,SAC @ POR,25,50,False,-25,0.077625
0022100014,1610612742,17.92,AWAY,DAL,ATL,L,87,240,DAL @ ATL,430,738,False,-308,0.07466666666666667
0022100015,1610612749,18.57,AWAY,MIL,MIA,L,95,239,MIL @ MIA,617,6,False,611,0.07769874476987448
0022100016,1610612746,17.72,AWAY,LAC,GSW,L,113,240,LAC @ GSW,233,13,False,220,0.07383333333333333
0022100017,1610612766,18.61,AWAY,CHA,CLE,W,123,240,CHA @ CLE,751,580,False,171,0.07754166666666666
0022100018,1610612752,17.73,AWAY,NYK,ORL,W,121,240,NYK @ ORL,26,82,False,-56,0.073875
0022100019,1610612754,19.94,AWAY,IND,WAS,L,134,266,IND @ WAS,717,82,False,635,0.0749624060150376
0022100020,1610612761,17.59,AWAY,TOR,BOS,W,115,241,TOR @ BOS,251,20,False,231,0.07298755186721992
0022100021,1610612751,17.22,AWAY,BKN,PHI,W,114,240,BKN @ PHI,26,39,False,-13,0.07175
0022100022,1610612740,18.23,AWAY,NOP,CHI,L,112,239,NOP @ CHI,0,594,False,-594,0.07627615062761506
0022100023,1610612760,18.57,AWAY,OKC,HOU,L,91,241,OKC @ HOU,1201,43,False,1158,0.07705394190871369
0022100024,1610612759,18.46,AWAY,SAS,DEN,L,96,239,SAS @ DEN,650,5280,True,-4630,0.07723849372384937
0022100025,1610612756,17.73,AWAY,PHX,LAL,W,115,241,PHX @ LAL,1086,233,False,853,0.07356846473029045
0022100026,1610612762,18.4,AWAY,UTA,SAC,W,110,240,UTA @ SAC,4226,25,False,4201,0.07666666666666666
0022100027,1610612737,17.73,AWAY,ATL,CLE,L,95,241,ATL @ CLE,738,580,False,158,0.07356846473029045
0022100028,1610612748,19.74,AWAY,MIA,IND,L,91,266,MIA @ IND,6,717,False,-711,0.07421052631578946
0022100029,1610612742,17.58,AWAY,DAL,TOR,W,103,240,DAL @ TOR,430,251,False,179,0.07325
0022100030,1610612765,18.98,AWAY,DET,CHI,L,82,238,DET @ CHI,595,594,False,1,0.07974789915966386
0022100031,1610612740,17.99,AWAY,NOP,MIN,L,89,240,NOP @ MIN,0,830,False,-830,0.07495833333333332
0022100032,1610612749,18.74,AWAY,MIL,SAS,W,121,240,MIL @ SAS,617,650,False,-33,0.07808333333333332
0022100033,1610612756,17.69,AWAY,PHX,POR,L,105,242,PHX @ POR,1086,50,False,1036,0.07309917355371902
0022100034,1610612763,17.93,AWAY,MEM,LAC,W,120,241,MEM @ LAC,337,233,False,104,0.07439834024896265
0022100035,1610612766,18.28,AWAY,CHA,BKN,W,111,241,CHA @ BKN,751,26,False,725,0.075850622406639
0022100036,1610612753,18.51,AWAY,ORL,NYK,W,110,241,ORL @ NYK,82,26,False,56,0.07680497925311204
0022100037,1610612738,17.14,AWAY,BOS,HOU,W,107,242,BOS @ HOU,20,43,False,-23,0.07082644628099173
0022100038,1610612755,17.9,AWAY,PHI,OKC,W,115,239,PHI @ OKC,39,1201,False,-1162,0.07489539748953974
0022100039,1610612744,17.91,AWAY,GSW,SAC,W,119,240,GSW @ SAC,13,25,False,-12,0.074625
0022100040,1610612763,17.49,AWAY,MEM,LAL,L,118,242,MEM @ LAL,337,233,False,104,0.07227272727272727
0022100041,1610612738,19.06,AWAY,BOS,CHA,W,140,264,BOS @ CHA,20,751,False,-731,0.07219696969696969
0022100042,1610612749,18.92,AWAY,MIL,IND,W,119,240,MIL @ IND,617,717,False,-100,0.07883333333333334
0022100043,1610612765,18.82,AWAY,DET,ATL,L,104,239,DET @ ATL,595,738,False,-143,0.07874476987447698
0022100044,1610612764,17.66,AWAY,WAS,BKN,L,90,242,WAS @ BKN,82,26,False,56,0.07297520661157025
0022100045,1610612753,18.23,AWAY,ORL,MIA,L,90,241,ORL @ MIA,82,6,False,76,0.07564315352697096
0022100046,1610612741,18.22,AWAY,CHI,TOR,W,111,241,CHI @ TOR,594,251,False,343,0.07560165975103735
0022100047,1610612740,17.88,AWAY,NOP,MIN,W,107,240,NOP @ MIN,0,830,False,-830,0.0745
0022100048,1610612739,17.34,AWAY,CLE,DEN,W,99,241,CLE @ DEN,580,5280,True,-4700,0.07195020746887967
0022100049,1610612757,18.91,AWAY,POR,LAC,L,86,239,POR @ LAC,50,233,False,-183,0.0791213389121339
0022100050,1610612755,17.28,AWAY,PHI,NYK,L,99,239,PHI @ NYK,39,26,False,13,0.07230125523012552
0022100051,1610612744,17.93,AWAY,GSW,OKC,W,106,240,GSW @ OKC,13,1201,False,-1188,0.07470833333333333
0022100052,1610612745,17.76,AWAY,HOU,DAL,L,106,239,HOU @ DAL,43,430,False,-387,0.07430962343096235
0022100053,1610612747,19.95,AWAY,LAL,SAS,W,125,266,LAL @ SAS,233,650,False,-417,0.075
0022100054,1610612743,18.02,AWAY,DEN,UTA,L,110,242,DEN @ UTA,5280,4226,True,1054,0.07446280991735538
0022100055,1610612766,18.89,AWAY,CHA,ORL,W,120,240,CHA @ ORL,751,82,False,669,0.07870833333333334
0022100056,1610612764,17.93,AWAY,WAS,BOS,W,116,240,WAS @ BOS,82,20,False,62,0.07470833333333333
0022100057,1610612748,18.02,AWAY,MIA,BKN,W,106,240,MIA @ BKN,6,26,False,-20,0.07508333333333334
0022100058,1610612754,18.72,AWAY,IND,TOR,L,100,240,IND @ TOR,717,251,False,466,0.078
0022100059,1610612737,17.55,AWAY,ATL,NOP,W,102,240,ATL @ NOP,738,0,False,738,0.07312500000000001
0022100060,1610612750,18.07,AWAY,MIN,MIL,W,113,238,MIN @ MIL,830,617,False,213,0.07592436974789916
0022100061,1610612747,17.38,AWAY,LAL,OKC,L,115,241,LAL @ OKC,233,1201,False,-968,0.07211618257261411
0022100062,1610612758,18.52,AWAY,SAC,PHX,W,110,240,SAC @ PHX,25,1086,False,-1061,0.07716666666666666
0022100063,1610612763,18.2,AWAY,MEM,POR,L,96,241,MEM @ POR,337,50,False,287,0.07551867219917012
0022100064,1610612739,17.61,AWAY,CLE,LAC,W,92,241,CLE @ LAC,580,233,False,347,0.07307053941908713
0022100065,1610612765,18.29,AWAY,DET,PHI,L,102,239,DET @ PHI,595,39,False,556,0.07652719665271966
0022100066,1610612737,17.75,AWAY,ATL,WAS,L,111,241,ATL @ WAS,738,82,False,656,0.07365145228215768
0022100067,1610612752,17.81,AWAY,NYK,CHI,W,104,240,NYK @ CHI,26,594,False,-568,0.07420833333333333
0022100068,1610612762,18.09,AWAY,UTA,HOU,W,122,241,UTA @ HOU,4226,43,False,4183,0.07506224066390041
0022100069,1610612759,18.27,AWAY,SAS,DAL,L,99,240,SAS @ DAL,650,430,False,220,0.076125
0022100070,1610612763,19.6,AWAY,MEM,GSW,W,104,265,MEM @ GSW,337,13,False,324,0.0739622641509434
0022100071,1610612753,18.02,AWAY,ORL,TOR,L,109,240,ORL @ TOR,82,251,False,-169,0.07508333333333334
0022100072,1610612754,19.15,AWAY,IND,BKN,L,98,241,IND @ BKN,717,26,False,691,0.07946058091286307
0022100073,1610612766,18.37,AWAY,CHA,MIA,L,99,238,CHA @ MIA,751,6,False,745,0.07718487394957983
