,GAME_ID,TEAM_ID,DIST
0,0022201230,1610612744,18.08
1,0022201230,1610612757,18.26
0,0022201229,1610612746,17.44
1,0022201229,1610612756,18.09
0,0022201226,1610612763,18.23
1,0022201226,1610612760,18.41
0,0022201224,1610612759,19.41
1,0022201224,1610612742,18.61
0,0022201218,1610612766,18.16
1,0022201218,1610612739,18.19
0,0022201223,1610612765,18.17
1,0022201223,1610612741,17.59
0,0022201222,1610612745,17.51
1,0022201222,1610612764,18.43
0,0022201217,1610612755,17.91
1,0022201217,1610612751,17.72
0,0022201221,1610612749,17.81
1,0022201221,1610612761,18.14
0,0022201225,1610612740,18.2
1,0022201225,1610612750,18.07
0,0022201219,1610612753,17.83
1,0022201219,1610612748,17.36
0,0022201228,1610612762,18.24
1,0022201228,1610612747,17.16
0,0022201227,1610612758,17.9
1,0022201227,1610612743,17.14
0,0022201220,1610612754,18.63
1,0022201220,1610612752,19.0
0,0022201216,1610612737,17.58
1,0022201216,1610612738,18.05
0,0022201214,1610612750,0.0
1,0022201214,1610612759,0.0
0,0022201215,1610612757,18.07
1,0022201215,1610612746,17.49
0,0022201213,1610612743,17.66
1,0022201213,1610612762,18.57
0,0022201207,1610612753,18.35
1,0022201207,1610612751,17.51
0,0022201203,1610612765,18.81
1,0022201203,1610612754,18.2
0,0022201209,1610612752,17.68
1,0022201209,1610612740,17.15
0,0022201210,1610612741,17.74
1,0022201210,1610612742,17.19
0,0022201206,1610612761,17.75
1,0022201206,1610612738,17.4
0,0022201211,1610612744,17.57
1,0022201211,1610612758,18.61
0,0022201202,1610612745,17.43
1,0022201202,1610612766,18.34
0,0022201205,1610612755,20.33
1,0022201205,1610612737,19.45
0,0022201208,1610612763,17.84
1,0022201208,1610612749,17.65
0,0022201212,1610612756,18.45
1,0022201212,1610612747,17.24
0,0022201204,1610612748,18.69
1,0022201204,1610612764,18.28
0,0022201197,1610612739,18.15
1,0022201197,1610612753,18.21
0,0022201199,1610612757,0.0
