,TEAM_ABBREVIATION,HIGHALT_home,HIGHALT_away,DIST
4917,MIL,False,False,18.08
4916,BKN,False,False,17.99
4919,LAL,False,False,17.62
4918,GSW,False,False,18.27
4898,IND,False,False,19.33
4899,CHA,False,False,19.25
4896,CHI,False,False,17.48
4897,DET,False,False,17.92
4913,TOR,False,False,18.99
4912,WAS,False,False,18.32
4908,CLE,False,False,17.81
4894,HOU,False,False,17.75
4906,PHI,False,False,18.15
4907,NOP,False,False,18.34
4901,SAS,False,False,18.26
4900,ORL,False,False,18.24
4903,UTA,True,False,17.6
4902,OKC,False,True,17.99
4914,DEN,True,False,17.71
4915,PHX,False,True,17.34
4905,POR,False,False,18.59
4904,SAC,False,False,18.63
4892,DAL,False,False,17.92
4890,MIL,False,False,18.57
4891,MIA,False,False,18.27
4888,LAC,False,False,17.72
4889,GSW,False,False,17.82
4872,CHA,False,False,18.61
4873,CLE,False,False,18.42
4870,NYK,False,False,17.73
4871,ORL,False,False,17.74
4886,TOR,False,False,17.59
4887,BOS,False,False,17.26
4869,PHI,False,False,17.54
4868,BKN,False,False,17.22
4879,CHI,False,False,17.96
4878,NOP,False,False,18.23
4884,OKC,False,False,18.57
4885,HOU,False,False,17.74
4880,SAS,False,True,18.46
4881,DEN,True,False,17.77
4882,PHX,False,False,17.73
4883,LAL,False,False,17.6
4875,SAC,False,True,18.45
4874,UTA,True,False,18.4
4862,ATL,False,False,17.73
4861,TOR,False,False,18.65
4860,DAL,False,False,17.58
4866,DET,False,False,18.98
4867,CHI,False,False,18.18
4857,MIN,False,False,18.03
4856,NOP,False,False,17.99
4859,SAS,False,False,19.23
4858,MIL,False,False,18.74
4855,POR,False,False,17.89
4853,LAC,False,False,17.38
4852,MEM,False,False,17.93
4844,CHA,False,False,18.28
4845,BKN,False,False,17.86
4848,ORL,False,False,18.51
4849,NYK,False,False,18.57
4851,HOU,False,False,17.02
4840,PHI,False,False,17.9
4843,SAC,False,False,18.3
4842,GSW,False,False,17.91
4847,LAL,False,False,16.8
4822,MIL,False,False,18.92
4823,IND,False,False,18.85
4832,DET,False,False,18.82
4833,ATL,False,False,17.91
4837,BKN,False,False,17.38
4825,MIA,False,False,17.92
4824,ORL,False,False,18.23
4829,TOR,False,False,18.74
4828,CHI,False,False,18.22
4834,NOP,False,False,17.88
4835,MIN,False,False,17.65
4831,DEN,True,False,17.13
4830,CLE,False,True,17.34
4838,POR,False,False,18.91
4839,LAC,False,False,18.6
4813,NYK,False,False,17.35
4812,PHI,False,False,17.28
4815,OKC,False,False,18.25
4814,GSW,False,False,17.93
4820,HOU,False,False,17.76
4821,DAL,False,False,17.97
4819,UTA,True,True,17.85
4798,CHA,False,False,18.89
4799,ORL,False,False,18.86
4801,BOS,False,False,17.53
4800,WAS,False,False,17.93
4802,MIA,False,False,18.02
4805,TOR,False,False,18.95
4804,IND,False,False,18.72
4810,ATL,False,False,17.55
4811,NOP,False,False,17.71
4796,MIN,False,False,18.07
4797,MIL,False,False,17.61
4807,OKC,False,False,17.96
4806,LAL,False,False,17.38
4809,PHX,False,False,18.3
4808,SAC,False,False,18.52
4794,MEM,False,False,18.2
4795,POR,False,False,17.98
4793,LAC,False,False,17.33
4792,CLE,False,False,17.61
4782,DET,False,False,18.29
4783,PHI,False,False,17.94
4787,WAS,False,False,17.9
4786,ATL,False,False,17.75
4789,CHI,False,False,17.48
4788,NYK,False,False,17.81
4780,UTA,True,False,18.09
4781,HOU,False,True,17.92
4784,SAS,False,False,18.27
4785,DAL,False,False,17.6
4770,ORL,False,False,18.02
4771,TOR,False,False,17.94
4773,BKN,False,False,17.81
4772,IND,False,False,19.15
4766,CHA,False,False,18.37
4767,MIA,False,False,17.72
4775,NOP,False,False,18.34
4774,SAC,False,False,18.29
4779,DEN,True,False,17.46
4778,DAL,False,True,17.37
4776,LAC,False,False,17.66
4777,POR,False,False,17.78
4769,LAL,False,False,16.72
4768,CLE,False,False,17.37
4746,ORL,False,False,18.18
4747,DET,False,False,17.93
4750,NYK,False,False,18.19
4751,NOP,False,False,18.3
4758,TOR,False,False,18.09
4759,IND,False,False,18.08
4757,PHI,False,False,18.08
4756,ATL,False,False,17.95
4744,UTA,True,False,18.43
4745,CHI,False,True,18.4
4755,MEM,False,False,18.29
4754,MIA,False,False,18.07
4761,MIL,False,False,18.84
4760,SAS,False,False,19.14
